Time,Game Number,Round Number,Player,Action Type,Player Hand,Board,Possible Actions,Cards Action,Reward,Qvalues,Loss,Wrong Actions,Total Actions,Scores,Roles,Players Status,Agent Names,Performance Score
2021-05-24_08:31:09.860927,1,,,DEAL,"[[ 2  3  4  4  7  8  8  9  9 10 10 10 10 11 11 11 12]
 [ 2  4  6  7  7  8  8  9  9  9  9  9 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 4  5  5  6  6  7  7  7  7  8  9  9 10 11 11 11 12]]",[],[],,,,,,,[],,[],,[]
2021-05-24_08:31:09.876472,1,,,,[],[],[],,,,,,,[],,[],"['RANDOM_Random1', 'RANDOM_Random2', 'RANDOM_Random3', 'RANDOM_Random4']",[]
2021-05-24_08:31:09.896850,1,1,3,DISCARD,"[[ 2  3  4  4  7  8  8  9  9 10 10 10 10 11 11 11 12]
 [ 2  4  6  7  7  8  8  9  9  9  9  9 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 0  0  0  4  5  5  6  6  7  7  7  7  8  9  9 10 11]]",[11 11 12  0  0  0  0  0  0  0  0],True,"[11, 11, 12]",0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,0,[0 0 0 0],[],"['' '' '' ('DISCARD', [11, 11, 12])]",,[]
2021-05-24_08:31:09.917005,1,1,0,DISCARD,"[[ 0  0  0  0  0  2  3  4  4  7  8  8  9  9 11 11 11]
 [ 2  4  6  7  7  8  8  9  9  9  9  9 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 0  0  0  4  5  5  6  6  7  7  7  7  8  9  9 10 11]]",[10 10 10 10 12  0  0  0  0  0  0],True,"[10, 10, 10, 10, 12]",0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,0,[0 0 0 0],[],"[('DISCARD', [10, 10, 10, 10, 12]) '' '' ('DISCARD', [11, 11, 12])]",,[]
2021-05-24_08:31:09.931898,1,1,1,DISCARD,"[[ 0  0  0  0  0  2  3  4  4  7  8  8  9  9 11 11 11]
 [ 0  0  0  0  0  2  4  6  7  7  8  8 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 0  0  0  4  5  5  6  6  7  7  7  7  8  9  9 10 11]]",[9 9 9 9 9 0 0 0 0 0 0],True,"[9, 9, 9, 9, 9]",0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,0,[0 0 0 0],[],"[('DISCARD', [10, 10, 10, 10, 12]) ('DISCARD', [9, 9, 9, 9, 9]) ''
 ('DISCARD', [11, 11, 12])]",,[]
2021-05-24_08:31:09.948372,1,1,2,PASS,"[[ 0  0  0  0  0  2  3  4  4  7  8  8  9  9 11 11 11]
 [ 0  0  0  0  0  2  4  6  7  7  8  8 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 0  0  0  4  5  5  6  6  7  7  7  7  8  9  9 10 11]]",[9 9 9 9 9 0 0 0 0 0 0],True,[0],0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1.]",0,0,0,[0 0 0 0],[],"[['DISCARD' list([10, 10, 10, 10, 12])]
 ['DISCARD' list([9, 9, 9, 9, 9])]
 ['PASS' list([0])]
 ['DISCARD' list([11, 11, 12])]]",,[]
2021-05-24_08:31:09.961428,1,1,3,PASS,"[[ 0  0  0  0  0  2  3  4  4  7  8  8  9  9 11 11 11]
 [ 0  0  0  0  0  2  4  6  7  7  8  8 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 0  0  0  4  5  5  6  6  7  7  7  7  8  9  9 10 11]]",[9 9 9 9 9 0 0 0 0 0 0],True,[0],0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1.]",0,0,0,[0 0 0 0],[],"[['DISCARD' list([10, 10, 10, 10, 12])]
 ['DISCARD' list([9, 9, 9, 9, 9])]
 ['PASS' list([0])]
 ['PASS' list([0])]]",,[]
2021-05-24_08:31:09.974525,1,1,0,PASS,"[[ 0  0  0  0  0  2  3  4  4  7  8  8  9  9 11 11 11]
 [ 0  0  0  0  0  2  4  6  7  7  8  8 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 0  0  0  4  5  5  6  6  7  7  7  7  8  9  9 10 11]]",[9 9 9 9 9 0 0 0 0 0 0],True,[0],0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1.]",0,0,0,[0 0 0 0],[],"[['PASS' list([0])]
 ['DISCARD' list([9, 9, 9, 9, 9])]
 ['PASS' list([0])]
 ['PASS' list([0])]]",,[]
2021-05-24_08:31:09.985510,1,1,,PIZZA_READY,"[[ 0  0  0  0  0  2  3  4  4  7  8  8  9  9 11 11 11]
 [ 0  0  0  0  0  2  4  6  7  7  8  8 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 0  0  0  4  5  5  6  6  7  7  7  7  8  9  9 10 11]]",[13  0  0  0  0  0  0  0  0  0  0],[],,,,,,,[0 0 0 0],[],"[['PASS' list([0])]
 ['DISCARD' list([9, 9, 9, 9, 9])]
 ['PASS' list([0])]
 ['PASS' list([0])]]",,[]
2021-05-24_08:31:09.998512,1,2,1,DISCARD,"[[ 0  0  0  0  0  2  3  4  4  7  8  8  9  9 11 11 11]
 [ 0  0  0  0  0  0  2  4  6  7  7  8 10 10 11 11 11]
 [ 1  3  3  5  5  5  6  6  6  8  8  8 10 10 10 11 11]
 [ 0  0  0  4  5  5  6  6  7  7  7  7  8  9  9 10 11]]",[8 0 0 0 0 0 0 0 0 0 0],True,[8],0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",0,0,0,[0 0 0 0],[],"['' ('DISCARD', [8]) '' '']",,[]
